toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad
"119.02","PC",10.6917300,3.0528284,498.5173154,1.8105614,1174.8915883,316.3141491,5332.0000000,4.5642900,0.8200000
"1190.01","APC",3.6950015,4.5150000,7655.0000000,14.1288000,1904.0000000,2184.6200000,7106.7000000,4.2000000,1.6300000
"1191.01","FP",15.7335693,3.2880000,2540.0000000,24.3218000,1219.0000000,367.5880000,6800.0000000,3.9100000,2.2100000
"1192.01","APC",45.9403293,3.7680000,14807.0000000,28.3312000,,20.4053000,6479.3000000,,1.2800000
"1193.01","FP",2.2219839,1.9960000,4394.0000000,15.4416000,,7790.5600000,7166.8000000,,1.8700000
"1194.01","CP",2.3106428,1.2940000,6911.0000000,8.7674100,1052.0000000,203.6850000,5339.9000000,4.4100000,0.9900000
"1195.01","FP",4.0513500,2.4000000,1132.2300000,14.2359000,,,4974.4000000,,3.8500000
"1196.01","PC",5.5376617,2.5170000,5390.0000000,15.6557000,1206.0000000,351.9290000,6689.0000000,3.9600000,2.0600000
"1197.01","PC",4.5960377,4.7440000,5000.0000000,16.2166000,1937.0000000,2340.0400000,7649.0000000,4.0400000,2.1200000
"1198.01","KP",3.6127710,4.1420000,11794.0000000,19.3662000,2344.0000000,5011.9200000,8324.0000000,4.2800000,1.7100000
"1199.01","CP",3.6714717,2.1490000,4340.0000000,10.6780000,1182.0000000,324.1140000,5618.0000000,4.0600000,1.5400000
"120.01","CP",11.5350760,8.5559580,2389.9061600,12.2158080,,,5479.3000000,3.7700000,2.4877100
"1200.01","FP",0.8352406,1.0430000,2065.0000000,6.4875000,2345.0000000,5021.6300000,6105.0000000,4.3100000,1.2400000
"1201.01","CP",2.4919771,1.4338141,2093.9594201,2.2187585,639.9817426,39.6452664,3948.0000000,4.6896200,0.4823880
"1202.01","FP",,2.7267750,878.1341080,1.7107060,448.0162269,9.5212941,3773.0000000,4.4380000,0.5779830
"1203.01","CP",25.5195307,6.6877451,558.3758637,2.9641461,662.8890748,45.6335702,5742.2200000,4.2900000,1.1732100
"1204.01","PC",1.3812115,2.7372191,117.7553083,2.2402361,2222.6145520,5767.3673643,6711.0000000,4.0635800,1.7756799
"1138.01","FP",0.6497100,2.0760000,620.0000000,6.2318100,4731.0000000,83182.0000000,9994.0000000,4.0200000,2.5900000
"1139.01","PC",4.4780798,4.5130000,1054.0000000,11.3678000,3715.0000000,31621.7000000,7947.0000000,4.2000000,1.8300000
"114.01","KP",3.2887898,3.4367717,7005.7247902,10.5135877,1338.8392647,759.3373533,5800.0000000,4.2800400,1.2417500
"1140.01","FP",13.7431084,2.2850000,5688.0000000,12.0500000,844.0000000,84.3234000,5941.5000000,,1.3400000
"1141.01","FP",16.9487087,4.2887767,156467.5479643,45.2204505,758.5937679,78.2632870,5894.7000000,4.3700000,1.1179000
"1142.01","FP",3.3686634,3.0120000,3288.0000000,42.2321000,2775.0000000,9856.2400000,7518.0000000,3.8200000,2.6800000
"1143.01","FP",11.2071839,4.3660000,3276.0000000,17.4989000,1487.0000000,813.0630000,6152.0000000,3.8400000,2.2400000
"1144.01","KP",4.8878037,2.1840000,4279.0000000,5.2915200,810.0000000,71.6805000,4757.3000000,4.5600000,0.7600000
"1145.01","FP",2.9716400,1.5340000,7350.0000000,,2076.0000000,3089.1800000,8562.5000000,,
"1146.01","FP",0.6601790,1.6349369,473.0939303,6.1672487,5717.1532477,252487.7638842,8598.7000000,4.1000000,2.6243200
"1147.01","FP",10.9278415,2.4680000,2743.0000000,49.1695000,1129.0000000,270.1420000,6259.0000000,3.5900000,2.9200000
"1148.01","KP",5.5514888,4.3350000,9493.0000000,15.8043000,1482.0000000,802.8580000,6403.9000000,4.1600000,1.5500000
"1149.01","APC",2.3202418,2.3817612,5082.9417064,,3115.3801229,22262.0513573,8737.5000000,,
"115.01","KP",4.7423709,2.4988145,12650.8110411,10.5505922,970.6340996,209.7699043,5377.0000000,4.4247600,0.8775850
"1150.01","KP",1.4810903,4.1588291,6788.5145388,20.3402421,3446.0210572,33326.7304874,9435.0000000,4.1100000,2.2877300
"1151.01","KP",3.4741012,3.3170000,15748.0000000,21.2912000,2084.3330866,3453.0700000,8894.8000000,4.3800000,1.6200000
"1152.01","FA",6.5011911,5.5463587,4501.3454064,,976.5873888,214.9638584,5485.0000000,,
"1153.01","APC",6.0360758,1.2550000,987.0000000,9.8676300,1293.0000000,464.0970000,6528.3000000,4.2100000,1.6900000
"1154.01","PC",21.7455370,4.1960000,659.0000000,2.1020800,642.0000000,28.2504000,5704.0000000,4.5100000,0.9300000
"1155.01","FP",1.3200300,3.1750000,552.4680000,,,,,,
"1156.01","FP",1.6865822,2.4290000,1770.0000000,,,,,,
"1157.01","FP",13.0727479,3.0440000,4080.0000000,35.7944000,1074.0000000,221.3430000,5709.8000000,3.3700000,3.5900000
"1158.01","FP",2.9258727,4.0750000,6720.0000000,24.4055000,2066.0000000,3028.5100000,4884.5000000,,1.3000000
